"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000001053",186.482953173849,-0.345114532219315,0.142647682073114,-2.41934903675775,0.0155483130370972,0.0772874048390418
"ENSMUSG00000001054",812.318640213171,-0.275100140938232,0.100827919410561,-2.72841235390419,0.00636399994922175,0.0423892214576328
"ENSMUSG00000001056",390.119590650905,-0.282752489777447,0.101602694987078,-2.78292312830293,0.00538715684203736,0.0379540295209475
"ENSMUSG00000001062",856.635189535428,-0.126697051237434,0.110588195492599,-1.14566523735269,0.251933692769976,0.46521968501077
"ENSMUSG00000001065",368.117227551836,-0.197623851778878,0.123748619873626,-1.59697822877293,0.110270560290499,0.276480772139603
"ENSMUSG00000001076",0.109343684955144,-0.291874247158132,3.02305956014017,-0.0965492876840968,0.923084330818821,NA
"ENSMUSG00000001082",235.578641686723,-0.536806088192624,0.168786108990102,-3.18039257735424,0.00147075657212823,0.0163127109131002
"ENSMUSG00000001089",2086.50806258833,0.157657037044037,0.109109182198914,1.44494747249244,0.148472640476202,0.334544303518259
"ENSMUSG00000001095",0,NA,NA,NA,NA,NA
"ENSMUSG00000001098",881.300764173117,-0.181673409377232,0.0918865817241762,-1.9771484145811,0.0480248565820132,0.162280714457093
"ENSMUSG00000001100",1083.24104028394,-0.0197642557054696,0.0523652982243528,-0.37743040478433,0.705853775071205,0.838430514406603
"ENSMUSG00000001103",19.9742754778612,-0.34859657764389,0.297015006280036,-1.17366654974739,0.240528613575264,0.451638236456962
"ENSMUSG00000001105",545.879839042147,-0.224744329125061,0.090590359436694,-2.48088572031902,0.0131056382916347,0.0688198537776571
"ENSMUSG00000001119",1829.68839453515,-0.249183317385035,0.138710455882684,-1.79642778764842,0.0724265078016076,0.21040658115821
"ENSMUSG00000001120",688.546337016478,0.0303985118505156,0.103466328804172,0.29380100948638,0.768909963655412,0.879680505199904
"ENSMUSG00000001123",61.2210085233178,-0.0723213063655571,0.12620000249333,-0.573068977311467,0.566597991276416,0.744568698052542
"ENSMUSG00000001127",1995.69204068179,-0.163512104874936,0.0992827396114982,-1.64693385290105,0.099571642704316,0.259625915645774
"ENSMUSG00000001128",185.610116006466,0.208691095044526,0.148953217277997,1.40105127541514,0.161198740470785,0.353088951805529
"ENSMUSG00000001131",6.84724222208613,-0.67056043537569,0.347104283592439,-1.93187023921331,0.053375523903235,0.17369560253325
"ENSMUSG00000001134",55.4196237651005,0.402652523781025,0.14908781889469,2.70077412605683,0.00691783022300329,0.0447390823438491
"ENSMUSG00000001138",543.009565301281,-0.119267022582586,0.160390596030118,-0.743603587333702,0.457116332328795,0.659295828547007
"ENSMUSG00000001143",844.225129816287,0.0780448754502291,0.0574758725231418,1.35787195607697,0.174504317416589,0.370637872021349
"ENSMUSG00000001150",1449.58054657876,0.442445486324663,0.0892045856969095,4.95989620789183,7.05308540596219e-07,7.18097490868268e-05
"ENSMUSG00000001151",797.169327928789,0.215683858636508,0.096906187540857,2.22569749269697,0.0260344508259874,0.10889301143072
"ENSMUSG00000001155",5.24317052083121,-0.243699544880333,0.704349512690569,-0.345992352503258,0.729348462038425,0.853893721700715
"ENSMUSG00000001156",671.587779187822,-0.22945905457873,0.127597306993575,-1.79830640618679,0.0721284651207783,0.210142816945259
"ENSMUSG00000001157",600.801727711221,0.119475890778174,0.0789145787158706,1.5139900981838,0.13002835088014,0.307791097037702
"ENSMUSG00000001158",240.638482397124,0.479461653417595,0.160919734216162,2.97950811162502,0.00288711585636057,0.0253695352999973
"ENSMUSG00000001166",15.9769282352077,0.13659018897576,0.302614560484612,0.451366876587239,0.651725152208358,0.803575385864774
"ENSMUSG00000001168",0.0673997902612291,-0.00333925719693837,3.02305956014017,-0.00110459523886573,0.999118660692198,NA
"ENSMUSG00000001173",1457.30409807547,0.395072094269292,0.0912986228486137,4.32725140799088,1.50981595997902e-05,0.000676643233674676
"ENSMUSG00000001175",41925.2121575874,-0.232991544621809,0.124569811968945,-1.87036924066237,0.0614325603543858,0.190212521307986
"ENSMUSG00000001211",4475.18916297695,-0.354565963585609,0.113470425929216,-3.12474339178731,0.00177960229273451,0.0186459147719728
"ENSMUSG00000001225",16.7567193799836,-1.33962055651586,0.263278842654934,-5.08821955842321,3.61440774506884e-07,4.15489335356987e-05
"ENSMUSG00000001227",1996.11210342768,-0.56964612694188,0.14496982715333,-3.92941164466854,8.51539579455399e-05,0.00230593198442852
"ENSMUSG00000001228",21.0008726824334,-0.837578961235423,0.298096946853716,-2.80975357203656,0.00495794458086888,0.0359782617202015
"ENSMUSG00000001229",1542.46235383896,-0.0853052304129862,0.0805132463186595,-1.05951795901212,0.289363954728533,0.503890401903881
"ENSMUSG00000001240",148.603612595022,0.232427702422196,0.160617488606962,1.4470883864394,0.147872170270543,0.333562720150237
"ENSMUSG00000001247",87.6478218952332,-0.271848862179477,0.148451894672008,-1.83122527860021,0.0670669251412173,0.201235555160112
"ENSMUSG00000001248",1798.78380228785,0.0330040022998836,0.137279049616006,0.240415434053496,0.810008214385168,0.90442665374827
"ENSMUSG00000001249",26.0026850234424,-0.600863257595046,0.296261885774444,-2.0281490345083,0.0425450396729965,0.150559999723521
"ENSMUSG00000001260",349.238190287858,0.426792281059125,0.195572744130554,2.18226871518569,0.0290897065047885,0.11728719557455
"ENSMUSG00000001270",20883.9296578826,-0.290853465247167,0.10953552856044,-2.65533447521257,0.00792298063041352,0.0491027799607042
"ENSMUSG00000001280",544.498061292618,-0.0773147105714797,0.128782412624619,-0.600351468774236,0.548272024115787,0.731001290007053
"ENSMUSG00000001281",9.75031322597364,0.857270062413226,0.49639605635613,1.72698806011101,0.0841698078353203,0.232128936194072
