"","logFC","AveExpr","t","P.Value","adj.P.Val","B","negLog10FDR"
"ILMN_2993661",-1.35509702975,9.53309862054167,-19.0951161295615,2.7614790297459e-16,9.55404391145013e-14,27.3377718172053,13.0198127669823
"ILMN_2692989",-1.19459404316667,9.37670651341667,-18.4129311658356,6.39922236667739e-16,2.13322709491103e-13,26.5055888136771,12.6709629088183
"ILMN_2435814",-0.990782908833334,9.37555811091667,-18.4045647464596,6.46660310759071e-16,2.13322709491103e-13,26.4952016792624,12.6709629088183
"ILMN_1238733",-1.34435778291667,10.328977006875,-18.1911965866185,8.45864206887098e-16,2.72695085788488e-13,26.2287792894796,12.5643226883663
"ILMN_1256699",1.03353561408333,9.96656373129167,18.1529599611122,8.87821400934474e-16,2.79861034939011e-13,26.1807237647679,12.5530575641597
"ILMN_1216122",-1.29209120691667,10.5068927690417,-18.0475873344722,1.01499847140773e-15,3.12994637324317e-13,26.0477976594102,12.5044631033494
"ILMN_1217118",-1.67736778083333,12.3038539595833,-17.8188796606589,1.36041722295007e-15,4.1058549590525e-13,25.7567632996354,12.3865963963185
"ILMN_2589312",-0.821310999166668,13.3168686929167,-17.3660881811478,2.45309395772871e-15,7.24940370632954e-13,25.1701640329582,12.1396977144912
"ILMN_2658392",-1.459915791,10.464488242,-17.0675959101317,3.6445669057375e-15,1.05506492975279e-12,24.7756829805252,11.9767208126263
"ILMN_2831436",-0.731168285416668,9.53726141854167,-16.5622249913408,7.2218492271839e-15,2.03466460356314e-12,24.0931938606549,11.6915071701373
"ILMN_2629289",-0.527511671083335,9.107321659375,-16.5528437379554,7.31532568076985e-15,2.03466460356314e-12,24.0803471236444,11.6915071701373
"ILMN_3143557",1.29516126166667,11.1780615275,16.3722595746667,9.38142310002897e-15,2.55914397449829e-12,23.8317671720963,11.5919052805172
"ILMN_2507182",-1.13490583258333,10.2745693670417,-16.2906337287635,1.05058210998871e-14,2.81179381701695e-12,23.7185972515786,11.5510165283943
"ILMN_1246153",-2.15170405,10.0690349641667,-16.2328889844252,1.13849973541353e-14,2.99067013830387e-12,23.6382300974533,11.5242314856696
"ILMN_1231805",-0.865725460416668,9.40463097945833,-16.1919832876814,1.20537065127581e-14,3.10876048879042e-12,23.581144156445,11.5074127364333
"ILMN_2514377",-1.05755719725,9.656648085375,-16.0346646913396,1.50293663595164e-14,3.74128147918801e-12,23.3603931124037,11.4269796159773
"ILMN_2707967",-0.769785062500001,10.9080231679167,-16.0344599258615,1.50337006918376e-14,3.74128147918801e-12,23.3601045297781,11.4269796159773
"ILMN_1217331",-0.659457311916668,9.18753633445833,-16.0046402464236,1.56789492317878e-14,3.83458439401569e-12,23.3180437027625,11.4162816995551
"ILMN_2706101",-1.17417831966667,9.49367963141667,-15.6438512522397,2.62060785627815e-14,6.30056312564501e-12,22.8035789515607,11.200620632859
"ILMN_2675232",0.5629288785,9.39800578633333,15.6280760569167,2.68072904845202e-14,6.33769025871531e-12,22.7808468502524,11.1980689898566
"ILMN_2638354",-1.08605661125,9.984374344875,-15.6085541824815,2.75711436341947e-14,6.41142085985332e-12,22.7526878990747,11.1930457141297
"ILMN_2897020",-0.853293239083335,9.70466362720833,-15.5889094698491,2.83626048631639e-14,6.48908951587065e-12,22.7243205874695,11.1878162347825
"ILMN_2953910",-0.765906692083335,10.4460400447917,-15.5153897971666,3.15398353523952e-14,6.99934027286555e-12,22.6178784499348,11.154942892751
"ILMN_2769234",-0.873499983333335,11.7245871175,-15.514517315485,3.15796811747194e-14,6.99934027286555e-12,22.6166126210442,11.154942892751
"ILMN_2696360",-0.677805235583334,9.36152504370833,-15.4553032489966,3.44096849419643e-14,7.50925201387328e-12,22.5305570543593,11.1244033203095
"ILMN_2700233",-1.32748837833333,11.6107935866667,-15.3390593105519,4.07561972263301e-14,8.75949481296202e-12,22.36078127702,11.0575209402097
"ILMN_1242457",0.63544939825,9.20388042629167,15.2784699959378,4.45339698288142e-14,9.42857256748851e-12,22.2718460574808,11.0255540520121
"ILMN_2752569",0.935917011083332,10.0826862569583,15.0257789445607,6.46551292892817e-14,1.34872501318891e-11,21.8976168039823,10.8700765880808
"ILMN_3123889",-0.882319355916668,10.3421291262083,-14.9264409337336,7.49652126880001e-14,1.54113266953519e-11,21.7490152250176,10.8121599731135
"ILMN_1220620",-0.488932112333335,9.10161503558333,-14.6467663998069,1.14193275982593e-13,2.30793849532207e-11,21.3260613386567,10.6367757689557
"ILMN_2925281",-1.33476339833333,10.936153415,-14.6391562396003,1.15518951827893e-13,2.30793849532207e-11,21.3144568234127,10.6367757689557
"ILMN_2667352",0.966461537499998,12.69268763125,14.5332619154397,1.35713162079322e-13,2.67373778346553e-11,21.1524498672287,10.5728811867442
"ILMN_2730784",-0.564504753333334,9.49242081333333,-14.4989247258207,1.43020250895104e-13,2.77909898485897e-11,21.0997037051575,10.5560959844164
"ILMN_1216281",-0.702160409916668,9.31087982445833,-14.4526443606622,1.53519362613795e-13,2.94280021442795e-11,21.0284446674741,10.5312392209845
"ILMN_2722542",-0.923603043333335,12.7617291025,-14.3996688403626,1.66523710563998e-13,3.14951844580042e-11,20.9466411015143,10.501755843772
"ILMN_2588911",-0.679692483000001,9.18771821016667,-14.3879027638254,1.69563847426463e-13,3.16481996808471e-11,20.9284379233851,10.4996509899408
"ILMN_2616522",-0.848432381500001,9.65858219616667,-14.3353903402849,1.8384955984837e-13,3.38689091746639e-11,20.8470440775743,10.4701987905728
"ILMN_1255006",-0.595421883083334,9.36421339820833,-14.2776440309285,2.01007138573402e-13,3.65549520597912e-11,20.7572492367247,10.4370537813173
"ILMN_2987878",-0.443252283166667,9.07987132116667,-14.046240125812,2.8823301122049e-13,5.17542438501601e-11,20.3943563473031,10.2860540322452
"ILMN_2590950",-0.466703030416667,9.115270292875,-13.8990621268473,3.63380542035261e-13,6.42473875228673e-11,20.1609653638004,10.1921445272569
"ILMN_2788574",0.486067225666666,9.33937653333333,13.8930185844781,3.66869114511967e-13,6.42473875228673e-11,20.1513382601488,10.1921445272569
"ILMN_2502614",0.744568755583333,9.31301151004166,13.8724085090118,3.79029155168498e-13,6.55674215373797e-11,20.1184814088067,10.1833118947856
"ILMN_2823778",-2.07199989208333,10.8401499597917,-13.8629571480495,3.84744378437179e-13,6.57542049172455e-11,20.1034005233425,10.1820764692418
"ILMN_1213286",-1.26934949258333,9.58041506820833,-13.755769272569,4.56171640330143e-13,7.703327045337e-11,19.9317760918339,10.1133216637421
"ILMN_2754220",-0.511287802833335,9.03568294875,-13.7217462347083,4.81611621350478e-13,8.03724805747827e-11,19.8770713789696,10.0948926276244
"ILMN_2449449",-0.806534484916667,9.88268276170833,-13.7061741409167,4.9374116828343e-13,8.1438586884889e-11,19.8519965281886,10.0891697707811
"ILMN_2636403",-0.771732628250001,9.812835551375,-13.6735467057133,5.20192410449489e-13,8.48152797957011e-11,19.7993831047613,10.0715259008898
"ILMN_2592953",1.0376264275,14.5193090229167,13.6243687823434,5.62865942210385e-13,9.07301521619808e-11,19.7198879032771,10.0422483607743
"ILMN_2865527",-1.56136372541667,10.443589410625,-13.5201883258049,6.65671315262304e-13,1.06096040528042e-10,19.5507104394617,9.97430082353418
"ILMN_2994806",-0.568581162500001,9.11662269258333,-13.4500410348915,7.45692052469593e-13,1.17529352936458e-10,19.4362045512974,9.92985365487041
"ILMN_3162820",0.950778659166665,11.4917992245833,13.3125824466086,9.32700547488077e-13,1.45388541385916e-10,19.2104221825306,9.83746982049876
"ILMN_1257801",0.861476648333332,10.7463600566667,13.1771437454845,1.16480048698231e-12,1.77756980959352e-10,18.9861262473878,9.75017333443735
"ILMN_2753924",-0.396137592833334,8.97621252575,-13.1760699029427,1.1668626748198e-12,1.77756980959352e-10,18.9843405681796,9.75017333443735
"ILMN_2620078",-0.973788380000002,12.7139734,-13.1703322136767,1.17794545013599e-12,1.77756980959352e-10,18.9747974772676,9.75017333443735
"ILMN_3105205",-0.668641050250001,9.58566704295833,-13.142104724262,1.23407728739244e-12,1.84267224438544e-10,18.9278005727679,9.73455190575394
"ILMN_3042059",-0.771639362916668,10.642735971875,-12.941200037408,1.72264145808142e-12,2.54538219613385e-10,18.5909810813163,9.59424699792066
"ILMN_2967455",-0.957478299833334,10.4535689125833,-12.9223052859176,1.77789169621844e-12,2.59993749596481e-10,18.559092380286,9.5850370925999
"ILMN_3023451",-0.596693928583334,9.38774302804167,-12.8274679122434,2.08425099578021e-12,3.01684697705533e-10,18.3984812305762,9.52044671790121
"ILMN_2688213",0.689918422166665,9.38704627,12.7911278369571,2.21568687304442e-12,3.1746988175894e-10,18.3366918756115,9.49829746976203
"ILMN_2655015",1.10170865916667,11.69228750625,12.7068831389037,2.55443445950887e-12,3.62346528081333e-10,18.1929226544771,9.4408758956327
"ILMN_3064056",-0.583075537333334,9.33153268758334,-12.6251804509757,2.93433350049222e-12,4.0697424763211e-10,18.0527838460991,9.39043307103305
"ILMN_2747480",-0.816701922166667,9.73677307283334,-12.6240878380896,2.93979257028903e-12,4.0697424763211e-10,18.0509050207062,9.39043307103305
"ILMN_3135566",-0.725826947500002,12.37090895875,-12.6210317100781,2.95511790666954e-12,4.0697424763211e-10,18.0456491251638,9.39043307103305
"ILMN_1214954",-0.984111558333335,10.7300391616667,-12.5716454347732,3.21456340391017e-12,4.38447902735248e-10,17.9605787870287,9.35808200297926
"ILMN_2841280",0.857202422666667,10.361279267,12.505714683711,3.59814606584306e-12,4.86092399466512e-10,17.8466081212892,9.31328116949439
"ILMN_2756771",-0.602881801333335,9.10597597833334,-12.463349456897,3.86934840339536e-12,5.17799123605313e-10,17.7731303659649,9.28583868896043
"ILMN_3163340",0.717690300416666,9.94235216895833,12.4175089148925,4.18673038754625e-12,5.5503523876022e-10,17.6934095869346,9.25567944297952
"ILMN_2925570",0.502019052083333,9.39541383604167,12.3888147727013,4.39899339077793e-12,5.77775196742454e-10,17.6433935743929,9.23824110587897
"ILMN_2663679",-1.35487580575,10.3956973312917,-12.3383401442574,4.79980658857445e-12,6.24635380357143e-10,17.555198166738,9.204373420268
"ILMN_1242829",-0.680658688000001,9.0895211715,-12.3129976291517,5.01511317798638e-12,6.46721640270334e-10,17.5108132548971,9.18928260666885
"ILMN_1228040",-0.533306980666667,9.36790709725,-12.2844841109782,5.26934483949312e-12,6.73384293227116e-10,17.460791774298,9.17173701780291
"ILMN_2806479",0.449452542166666,9.04858397575,12.2775762021274,5.33291941950562e-12,6.75423767550779e-10,17.4486599506738,9.17042366100215
"ILMN_2676066",-1.01133333591667,10.2728925687083,-12.2461734750906,5.63208187096274e-12,7.04005154302541e-10,17.3934446278017,9.15242416120312
